"k_H","DH1","DH2","Hill"
328,0.983361243087642,0.983744327626934,0.985657786202116
336,1.01703648570293,0.975382380191561,1.00104103329401
344,0.984038247687046,0.984863016664712,1.00412580243765
352,0.963213492021909,0.954136989919042,0.994757136646436
360,0.996337213188249,0.971130453857251,0.985614689624702
368,1.00497631417936,0.978462630138475,0.978545406415316
376,1.04020129112915,0.977686320245859,0.979174635782143
384,0.977178769922729,1.00009870616055,0.987600833142816
392,1.04538241100113,0.976682600013346,0.984962067427346
400,1.01596038176467,0.980753169865229,0.997303848178781
40,0.954806657632331,0.855577449347774,0.932132117826033
48,0.990287733893877,0.930597369829507,0.863865593431329
56,0.934791125293579,0.929987397185584,0.924622274361022
64,1.0558730788891,0.939454701652648,0.921960534702638
72,1.01817364753396,1.02354646090493,1.01053151915374
80,1.09968160651363,1.00083473188569,1.01154496825781
88,1.1707596039665,0.993476787182114,1.04762671909728
96,1.20055253088484,1.01883337980736,1.06560977765024
104,1.08588899123689,1.16296904304061,1.06979810311482
112,1.13877968891575,1.16962505198737,1.11179146715275
120,1.13837843718204,1.17980233982457,1.14575245949762
128,1.09106632899947,1.19311922784499,1.16034722395962
136,1.16445241694149,1.1278193774699,1.13941950484961
144,1.15161759685367,1.14532314719241,1.12388256556244
152,1.20633384882419,1.16015544291547,1.1410109372948
160,1.15599242243546,1.2306701838775,1.11949583583335
168,1.17159363003706,1.2116359471811,1.1454775573226
176,1.1720414546483,1.15550069911235,1.13892747468462
184,1.06382331178504,1.1670649173582,1.15445610436948
192,1.17108084852034,1.18322814684689,1.16312070365836
200,1.21608235159736,1.16377190110473,1.17907775080165
208,1.1691447177677,1.21496313506008,1.18032242873384
216,1.15999484535225,1.21800278433055,1.19358316574737
224,1.11701084817907,1.20173727034425,1.20237377874369
232,1.07110309148247,1.16828741392168,1.19901917156118
240,1.10168821274833,1.18428480561779,1.20020498728969
248,1.14582906882957,1.1938673312507,1.1836749534926
256,1.13065130563502,1.15943838593787,1.21193845996539
264,1.11881745125807,1.14319918356909,1.21880281869648
272,1.16438578808497,1.17492432401759,1.21649588177938
280,1.07493493507238,1.15051998594718,1.21273726522701
288,1.11268413926066,1.16525237898998,1.19747183449603
296,1.03660170354571,1.16560196230043,1.1777855078806
304,1.10297022888948,1.18483915131619,1.1635462793263
312,1.1413556953749,1.17039644657178,1.14998063564571
320,1.10341778127532,1.15771034657131,1.14672429269106
328,1.09517870007084,1.1380082336115,1.14790014935154
336,1.05726220471482,1.1536064831676,1.15030862664113
344,1.05229280409604,1.12824708162855,1.14292235688841
352,1.08312985407164,1.1064473168298,1.14477624457664
360,1.10056963779768,1.14458368515424,1.1412882572175
368,1.06739456285035,1.10208523513256,1.13319346782664
376,1.12720823907823,1.1419802423298,1.12604629493786
384,1.11631385474463,1.13740536232738,1.12514025323296
392,1.10825061214433,1.15967876688808,1.12226457602213
400,1.10224839122445,1.09552079095972,1.12873812412101
40,1.15556056423466,0.988104504694047,1.16490575213371
48,1.14216816603283,1.05007744090249,1.08521669404456
56,1.2061919503589,1.09434776432473,1.07291421006567
64,1.13858140004176,1.07423565082034,1.11283383501502
72,1.05919755259828,1.03018762449588,1.10613583355871
80,1.16675138059293,1.02583455100324,1.1320641269636
88,1.06601616940216,1.03558274995434,1.0911536348318
96,1.09991781583044,0.99803590914464,1.04176930453417
104,1.03832732179142,0.99833511423961,1.03351438871187
112,1.02238343378903,1.00443979061664,1.02216362269115
120,1.03634484045499,0.988238736040209,1.02995855303789
128,1.05321930226033,0.946184928126797,1.03999316398309
136,1.05401950742297,1.00899024974932,1.06190824054105
144,1.0227708007612,1.0195859857353,1.09534119315171
152,0.998346412093035,1.09072471100898,1.08227921908574
160,0.951765835549016,1.00606888014452,1.06492213979726
168,1.02819696997382,1.03583651546178,1.08269188154391
176,1.02765365510862,1.05459891394814,1.06997609143322
184,0.999601779441183,1.02750470232224,1.06921153893862
192,0.971501937296634,1.00954351821885,1.05238875636095
200,1.0282660932045,1.06457751870283,1.03833265144378
208,0.989614591489244,1.076811974155,1.03887396905334
