"k_seq","DH","MLE"
80,1.01859258463926,0.809283272335581
82,1.02186780641096,0.799191064498111
84,0.917982228460164,0.825516913143256
86,0.916649084973133,0.819798948042479
88,0.913838306451125,0.815234589070534
90,0.921011121864094,0.80645879417952
92,1.04378388947368,0.768720140055963
94,1.0418110754523,0.764888346060713
96,1.02841411142866,0.762619616825382
98,1.03594811934048,0.754457305861342
100,1.03654568062164,0.763601076477174
102,1.04385401594886,0.85036580541442
104,1.04182973166615,0.851203818820315
106,1.02852581339476,0.844471433885204
108,1.02743430552172,0.834842514374995
110,1.02672149156142,0.827521654927072
112,1.00409155579448,0.885372796282789
114,0.996076998920672,0.893410223418866
116,1.01185232642883,0.894947406501861
118,1.00109207813811,0.890145839879964
120,0.995667137275572,0.883691273495666
122,1.00071768511224,0.874992635185355
124,0.993854915746641,0.868642528216147
126,1.07741372434705,0.936973410882533
128,1.07377107516469,0.941102070880048
130,1.06240967738859,0.941590007646845
132,1.07038716549308,0.942235309525136
134,1.06899080305709,0.939512969686515
136,1.06263017588838,0.93177530592782
138,1.06003802321909,0.925061089317787
140,1.06779568173016,0.920320428511456
142,1.06567661931685,0.912685784165057
144,1.15193844296085,0.929555308073047
146,1.1554663851086,0.937119425437976
148,1.1629628141201,0.933700464173537
150,1.1549999102499,0.93255057938235
152,1.15185738151268,0.932085085162783
154,1.1552303068716,0.931384566767133
156,1.15019222422137,0.936212344176643
158,1.14420428587485,0.929420808894252
160,1.13748528805288,0.923972158395546
162,1.13816334291246,0.922390840779024
164,1.13926800654908,0.919443987573699
166,1.13093510817423,0.91521461672245
168,1.25948954859948,0.989458442037761
170,1.25266972655838,0.983679951142743
172,1.24444509112423,0.988171684320677
174,1.24704053317132,0.993108442911555
176,1.24972761273443,0.995827483139482
178,1.25174746779731,1.02647072446697
180,1.25022845646895,1.02064403397625
182,1.24658658888256,1.01780371811104
184,1.24917884766257,1.01846595945493
186,1.24750138560017,1.01621338030784
188,1.24230138544977,1.01272140238717
190,1.2392164620909,1.00710046975306
192,1.23262758707034,1.00280960409288
194,1.23801374277866,0.999008561935296
196,1.23497241746153,1.01255384944267
198,1.23662120965488,1.0073887857422
200,1.24403785255202,1.0144943519971
10,0.651906792208564,0.699482533458239
12,0.907440843808568,0.833529785675313
14,0.74429756631688,0.811542741101772
16,0.660874135587513,0.753272996477132
18,0.805422938014761,0.71648461871513
20,0.853735843427721,0.686689356294708
22,0.899059176629114,0.706857678665957
24,0.8359378433792,0.740700089507312
26,0.994182626656375,0.71204693105249
28,0.987093250292635,0.699425230706848
30,0.9506075695209,0.839761529690988
32,0.966501712081162,0.708153349249449
34,0.825971085060853,0.946280950549966
36,0.954672128331188,0.976826091508989
38,1.0431863971248,0.723712733997169
40,1.08476792170186,0.679973055311975
42,1.06407037358089,0.923207141047562
44,0.981555770412453,0.984303323502181
46,0.994170726384091,0.974886637925442
48,1.10728457031467,0.866352877914838
50,1.09037247060262,0.872931997756646
52,1.04013251405338,0.972023166440139
54,0.90359327000234,0.988472202794097
56,1.004665211736,1.03345717746803
58,0.984225793962036,1.01585364714312
60,1.06065590252443,0.910983069773653
62,1.03118195735407,0.900587863362722
64,0.994109845205184,0.947187710523959
66,0.968438746933617,0.935053827908076
68,1.02821598791956,0.979617250827537
70,1.01276456379871,0.965390894570718
72,0.993270559967117,1.03450181180003
74,0.993173847542877,1.02485637411845
76,0.971140625054366,1.01226236788969
78,0.99763072678782,0.954060527188958
80,0.997432263624881,0.947327547292858
82,0.994922668914865,0.932508999450053
84,1.03054445194511,0.965401180320715
86,1.03174758984191,0.958873081376273
88,1.02571040199952,0.948528552297873
90,1.01081216102624,0.935670520261205
92,1.10956593693474,0.976581788682824
94,1.10575650910641,0.969036743934596
96,1.08968705758661,0.990816922003648
98,1.08570444172799,0.978546842312295
100,1.07939233504464,0.983202204489406
102,1.04830929861359,1.03406146006364
104,1.03735689831712,1.02275308338451
106,1.04575409109713,1.01975513743931
108,1.04737091891909,1.00836498469652
110,1.0347876214515,0.997669956498363
112,1.10759198754065,0.973799162515213
114,1.09344888364622,0.96448936293916
116,1.09813121399698,0.964269496485585
118,1.09792378599716,0.959275346787573
120,1.08938977473308,0.959449245744488
122,1.0912468288202,0.950932024637841
124,1.08046181607738,0.941268865043122
126,1.05414209600697,0.924001632790843
128,1.06522436412395,0.948561048325275
130,1.05405392072553,0.940154136008915
132,1.05735404267569,0.940622832487511
134,1.04748501761686,0.934565994136624
136,1.04624381225519,0.93475107483278
138,1.04440567323696,0.931016437848057
140,1.04267357171675,0.924252217633454
142,1.03636841975652,0.918015133986644
144,1.127666323823,0.963723779504841
146,1.11836780299461,0.956149193598095
148,1.1186612448067,0.969012367651299
150,1.1452102089855,0.995001485659617
152,1.13529033641279,0.98815027777962
154,1.13949873969527,0.988949665573568
156,1.13044591433343,0.984973650913354
158,1.12849957248692,0.987680073626326
160,1.13016230909737,0.985426324843405
162,1.13304343264041,0.979420136429604
164,1.12602191026232,0.973405656856182
166,1.1289431716635,0.978563189933423
168,1.28364164246646,0.920652288150843
170,1.27983367513439,0.917714000976587
172,1.27089554110006,0.911236310363728
174,1.26840264877479,0.913151269619006
176,1.25783951634545,0.914313345437807
178,1.27356850224108,0.934255096302287
180,1.28806830100148,0.951562271919615
182,1.27919566424323,0.944991543702662
184,1.27829398167288,0.946963390434467
186,1.26933193130996,0.942948608773189
188,1.27764846542923,0.941426028477688
190,1.27115600321129,0.944367109877132
192,1.27105561256662,0.943866371958446
194,1.27155505776222,0.939955733048026
196,1.26886558992731,0.935813978342365
198,1.26579209251475,0.930341455158483
200,1.27327644636411,0.937414417222693
10,1.10135133078225,0.798083780585878
12,1.06409014665618,0.824771176216131
14,1.17879636420437,0.930432351189978
16,1.12999631166467,0.823456912508658
18,1.00407744444255,0.949003320146109
20,1.1136834597075,0.911487829976157
22,1.1400521981273,1.08232332214951
24,1.09758843814965,0.99758009054279
26,0.984398705152452,1.12394159655016
28,0.912625667287138,1.0791944480851
30,1.07675054437547,0.99524028843849
32,1.01347401490066,0.963747361135994
34,0.875015436268304,1.02032754542688
36,1.04728043070981,0.977021254646012
38,1.02770576125915,1.00806189965579
40,1.03831099950704,1.00931482241385
42,1.07453250627064,1.02134867093183
44,1.06082211605415,1.01822114327914
46,0.953389002132339,1.04092343979973
48,1.09252057065107,0.96752499456258
50,1.09384367704317,0.957791220700543
52,0.952329301864488,1.05526467479337
54,1.05032808340814,0.991541901648048
56,1.13944823502613,1.01925101773724
58,1.13613033282021,1.00951927987594
60,1.04739973872729,1.00130323181209
62,1.05286527252467,0.999839791226873
64,1.06214278817531,0.95683017687119
66,1.06497915571962,0.956417965208064
68,1.1206054839854,1.0224901534336
70,1.10340161452451,1.0262023682105
72,1.06951745779838,0.953120254753099
74,1.05935591382631,0.944125994875468
76,1.06189241391344,0.947689060146859
78,1.12681108200311,0.959517961205497
80,1.11597931322382,0.951034160748259
82,1.11768142745206,0.954360924323317
84,1.05557417763662,1.01024493512067
86,1.05492726657545,1.00196176241196
88,1.04972599189241,0.993124660181583
90,1.06182240645969,0.998834880668715
92,1.14307383152951,0.953623961515656
94,1.13761838755799,0.944466922805699
96,1.13160944915392,0.935816016310248
98,1.12244052275655,0.930763617748552
100,1.12655896500752,0.929830376551038
102,1.09117843348435,0.983484380437022
104,1.08599806169261,0.975817877102832
106,1.07942864477271,0.967695005748785
108,1.0687678135422,0.966118931021071
110,1.06901210997765,0.965798760417662
112,1.17008104867034,0.989153246720392
114,1.15815344547745,0.980874845585786
116,1.15157786389082,0.97503078805934
118,1.15440122361061,0.97204343373028
120,1.14641136445439,0.96378527491918
122,1.1512047402038,0.965233990404074
124,1.15009101857625,0.969235757741297
126,1.16327385605876,0.955471793816462
128,1.15829856117523,0.952760211473841
130,1.15294249122518,0.944103628751193
132,1.15339275393094,0.941046583039728
134,1.14694818656804,0.947131219026579
136,1.14269370761818,0.942026031874758
138,1.13455691838733,0.933587914559833
140,1.12809656320583,0.9329591348504
142,1.13011458169074,0.93480521439927
144,1.1961969682569,0.960427744431715
146,1.21180141502413,0.977999687691423
148,1.20917367683966,0.969420737563604
150,1.20703132371102,0.962839289684783
152,1.20130094189564,0.954619960178425
154,1.20994098822537,0.952813439539389
156,1.2031067252598,0.956065277569972
158,1.20584474463502,0.952556617978909
160,1.19742010581285,0.945566176705427
162,1.19068412110606,0.945026324115432
164,1.19147903302744,0.947400148697945
166,1.19409926636106,0.945150438089831
168,1.32655732770334,0.978960939448588
170,1.33657708601098,0.990115922555157
172,1.33400127352344,0.98287444872964
174,1.35644577382821,1.00552767552667
176,1.35283623683331,0.998552736270933
178,1.34506925471968,0.992215871608178
180,1.34644951260353,0.986720212408188
182,1.34226166360278,0.97994796882355
184,1.34220147014204,0.978368501328253
186,1.33825771580254,0.978027111960946
188,1.33130014516372,0.97469875765878
190,1.34061775043247,0.974387997239313
192,1.33240067458288,0.971321345385351
194,1.32538422788164,0.971416491936684
196,1.32570561796624,0.966278971425276
198,1.32567504953255,0.972623514456641
