"d","DH","oracle"
25,1.1645714587071,1.14948230249823
26,1.16838977460946,1.18155655179527
27,1.1750627665108,1.17437088627225
28,1.21195852261063,1.1785950781734
29,1.22491677462205,1.19031329126194
30,1.24087365180641,1.20153370303565
1,1.29028495934282,1.02439170493318
2,0.969134218768782,1.00292705252152
3,1.04161265905958,1.02378203535581
4,1.03286596767786,1.06486036683756
5,0.947632601043448,1.06426043210438
6,1.17611944621609,1.17525556151598
7,1.15372289435013,1.14907107026914
8,1.16630064085766,1.1572151728491
9,1.13688410600195,1.13914095827267
10,1.1073106108475,1.13729512173726
11,1.1505191869766,1.09600134645481
12,1.12838944636065,1.11031498495199
13,1.14763756048644,1.12735489552281
14,1.14065477830999,1.12254029020208
15,1.12901213021616,1.10180205882645
16,1.13560809746593,1.10298407506281
17,1.12700277210412,1.10150295574418
18,1.12474470493803,1.08684564884179
19,1.13408093666886,1.10014049690192
20,1.1234816020738,1.12470019068784
21,1.12632466952151,1.13254866293887
22,1.12659222963504,1.14531167724544
23,1.13132780291403,1.14191118585392
24,1.14390373687028,1.16298168470978
25,1.14452837960944,1.17322299237945
26,1.19395610341156,1.17379203279688
27,1.19386102102514,1.18275726659588
28,1.20078473366326,1.18523184955051
29,1.19748068956123,1.20819980176504
30,1.21043047709934,1.20819840118518
1,0.706260575146275,0.935670709542388
2,1.0573311929261,0.970496722483394
3,1.036792856259,0.973912627749995
4,1.00880687881852,1.05785996599573
5,1.00261409935048,1.03054745682531
6,1.00822739086923,1.07250701708391
7,1.06476084902966,1.01794214342116
8,1.08757451526666,1.0642635629521
9,1.0888370235075,1.05592482054182
10,1.12195790005027,1.09004456439881
11,1.14388275344058,1.10399718143679
12,1.11870665871902,1.10441798957949
13,1.13609533882375,1.10884400515987
14,1.16408424226179,1.11381014625391
15,1.19511227321835,1.13595712426036
16,1.17911694707766,1.13206275444442
17,1.18153403891222,1.16808421927984
18,1.19608936596934,1.17141910860426
19,1.18324610833975,1.19518042475313
20,1.20258368748112,1.19903686937017
21,1.22940066488552,1.20549885443254
22,1.22045067935197,1.22219053292871
23,1.22508788069153,1.23379379382973
24,1.25131903992163,1.25159044427139
25,1.28796897001045,1.26470080191982
26,1.28174496231537,1.27775555683408
27,1.30641389526228,1.28287578271837
28,1.32383658035885,1.28835057994525
29,1.34926025628124,1.30870278680004
30,1.34346949212683,1.31566182948034
1,0.602581894416686,0.558248833494477
2,1.04591457821682,1.0633929428067
3,1.13948902028915,0.998389720370358
4,1.10150805847527,0.997997575459013
5,1.06384558391393,0.990444989537795
6,1.05263607519678,1.0562564255063
7,1.05222689731151,1.01958106017803
8,1.07221505562408,1.03289367408502
9,1.02934500231927,1.00399701892652
10,1.00855963765532,1.00845329350034
11,0.999796169057224,1.03020271250273
12,1.0356539632313,1.0420337738914
13,1.04743617431148,1.02311925813205
14,1.0478425121831,1.06068278251207
15,1.07845303571886,1.04650093072669
