"k_H","DH1","DH2","Hill"
256,1.02341302293484,0.995743370000447,0.971930946452217
264,1.04782971038751,0.947050035437294,0.973652672996932
272,1.10978146115861,1.0191220515583,0.963980966268875
280,1.08104204682991,1.01666451308683,0.970671906369404
288,1.10197025062603,0.992657460890125,1.02052096014409
296,1.13309515786549,1.02484264472402,1.01810064558889
304,1.13484186461025,1.01156504896219,1.00702966162684
312,1.06024053443619,1.0707627541623,1.00967870306393
320,1.10827326233746,1.02768654723794,0.998198265896332
328,1.10442333387836,1.05875964356767,0.993481766368435
336,1.21356495415111,1.03835358025903,1.00263505714685
344,1.27818429201067,1.0791890540887,1.01387458871832
352,1.23106732085664,1.0499144984137,1.02168397145399
360,1.22000434454735,1.05166741922049,1.02549466929654
368,1.19025180529471,1.0758323416139,1.04838970194056
376,1.23538961303022,1.07539674537754,1.05279440322352
384,1.17796622646265,1.11332724399908,1.04667189030281
392,1.23462827097201,1.10114933519588,1.08093099248081
400,1.22289373009461,1.12786958155355,1.08356750949421
40,1.082263729449,0.940398887751595,0.945849765255155
48,1.03749944064304,0.958950639367602,1.02905063797113
56,1.09124628677025,0.978329021558071,1.07995361468582
64,1.05184411761588,1.08179819329991,1.08286065098056
72,1.10371534017315,1.02313697855723,1.05451115966074
80,1.13559102428861,1.13936069832038,1.04697714731972
88,1.06935076976107,1.1505604298272,1.03878643231862
96,1.05454517623452,1.07647182275056,1.07335610855761
104,1.13421324506266,1.04006035268511,1.02618741978813
112,1.07935130098217,1.0846725573032,1.0112078401188
120,1.04488158119755,1.02318054268143,1.01008683973847
128,1.07325706979158,1.03125593838312,1.01419795552305
136,1.08454304296136,0.990172188448201,1.00129976868304
144,1.10529053014063,0.992567958715854,0.99159016670876
152,1.04575278789542,1.00968942313014,1.01782738679788
160,1.04128085330107,0.94541141306392,0.996671183292143
168,1.11215962025407,1.03161148142923,0.998559594835907
176,1.0996206954421,1.0087641329891,0.981249678305478
184,1.08564278853177,0.97790676836361,0.975818553695522
192,1.04878887994053,1.02150210207113,1.00122820422082
200,1.08278855278979,1.0417249035621,1.02643505383485
208,1.08469669859584,1.02107281558655,1.02994716260127
216,1.11150468569154,1.04303061269792,1.03173029687056
224,1.12162729001609,1.04482603316785,1.05482586844056
232,1.01842469622028,1.02674801862943,1.03602336125912
240,1.14277092195486,1.01624358035356,1.04901085142956
248,1.11232488274256,1.05996022763176,1.05525122951863
256,1.11407748236105,1.02469750623812,1.04852159449805
264,1.09014768873175,1.07040587259798,1.04068786610464
272,1.14347963824841,1.0642652397975,1.02555726905146
280,1.19766845974903,1.05785540298633,1.03655701690064
288,1.23035036718554,1.11162640769601,1.05430033457013
296,1.15390861330403,1.09431685784286,1.07044297270345
304,1.21085153875448,1.07587808271068,1.08297627138276
312,1.1949591873294,1.13062034073875,1.08406919761079
320,1.21357060097597,1.12197011880276,1.0861156243884
328,1.18034666947996,1.14592624557221,1.07806925320824
336,1.25510050520754,1.1283544295572,1.08545409907425
344,1.27236966813414,1.11649606260673,1.08646677949894
352,1.29103243059138,1.10494897442432,1.09222582733649
360,1.30374405252692,1.11334814657101,1.11589730339594
368,1.27786991030795,1.16123879238796,1.11966501362315
376,1.30931513697594,1.14321386020785,1.12023663434332
384,1.28249842058897,1.17133368929979,1.12390978504736
392,1.26822170599427,1.13014310840951,1.12448960039333
400,1.27773988527045,1.14353914410261,1.11850636380358
40,0.864246206257465,0.811609912959605,0.910272538855459
48,0.957379404544675,0.811452197458423,0.82323667595027
56,0.921329146279407,0.897911800658511,0.875197140333687
64,1.07812522685552,0.935138356364654,0.904188376891232
72,0.989347440217253,0.944066561968134,0.861832590165632
80,1.02653910804316,1.0446980246982,0.988151137982505
88,1.07101004817452,1.04438465991735,0.962547828277282
96,1.00652915867273,0.974525881310273,0.964113057758455
104,0.984855225857952,1.0516279314483,1.01691198591593
112,1.03801651570621,1.0021692316277,1.04526396270414
120,1.04725071767691,1.05811864337206,1.09408485072206
128,0.961173696228999,0.977185026086778,1.04795761177886
136,0.982775057246868,1.01078889749658,1.05919019750961
144,0.979715938157272,1.01023581979453,1.05534003343804
152,0.997413392363095,0.97834339064694,1.03211147219257
160,0.990152709078574,0.956792999347321,1.03545239716199
168,1.03802969476599,0.95458786809149,1.05386650892653
176,1.03154124749336,1.01111142008267,1.01700953105607
184,0.987392701762619,0.95640316369605,1.00128671061466
192,0.992411347100816,1.02993942580076,1.00777494710365
200,1.03238180322659,0.999802940062653,1.00608770259428
208,1.00723317116829,1.04382000965307,1.00401862860045
216,1.02193522940473,1.00424478778309,1.01235815998512
224,1.09275318735251,1.03782110740009,1.03013496407818
232,1.07443123880725,1.04169325535881,1.01792794295612
240,1.0612549520089,1.02270978198453,1.01847569155583
248,1.03698847479522,1.05862932589532,1.01489769783907
256,1.03216707162344,1.02654389384873,1.00151775797658
264,1.13427771194193,1.05189133190398,1.0278402173347
272,1.08514030959805,1.06352401040431,1.03786559054352
280,1.10655836681231,1.10332615810841,1.05746531950297
288,1.0984999144245,1.07089928120369,1.057608158994
296,1.07723226327154,1.10621185200951,1.053091262961
304,1.17017560864835,1.07920970191041,1.04683065045581
312,1.17930544942547,1.14606381569145,1.05585793490295
320,1.10795372248439,1.06868141239044,1.06398417131163
328,1.12999763300275,1.13959154397315,1.05744569204769
336,1.24837830513358,1.04581224169104,1.05471734113534
344,1.17547131089088,1.12740650300645,1.06335152999826
352,1.24473770557555,1.12013950039241,1.0811537317079
360,1.29848467339961,1.14723385925474,1.0882381354923
368,1.23109458646395,1.1280322231767,1.09286424147067
376,1.24033185450922,1.0970125241374,1.10273069807806
384,1.27575968827156,1.12746872854777,1.11880304355366
392,1.21617597083013,1.16772151709104,1.1251366878994
400,1.25410809500129,1.1520054339899,1.13012456338663
40,0.922200595217009,1.06117911432472,1.10585762264559
48,0.9521076548169,1.06727685281581,1.0059463184757
56,0.984905569730008,1.10358477675867,1.09054576600358
64,1.07069943091402,1.05419938133139,1.03522430168834
72,0.999696550762372,1.05885176087504,1.07367397065898
80,1.00531072551141,1.03011791173561,1.06312578556681
88,1.07088418547383,0.998867079262161,1.03910652684077
96,0.978726356449399,1.05863820918448,1.02723017720923
104,1.08843229717216,0.997494358088478,1.02246569313512
112,1.12851159509177,1.10386922743467,1.02708484158964
120,1.13988908499038,1.08369098988344,1.01667726163429
128,1.11967313821324,1.09893863971195,1.02078601714456
136,1.10527854265235,1.08948785006779,1.01826783035279
144,1.03048268767133,1.06499316762115,1.03560052135364
152,1.03272822967538,0.994641547855605,1.02120756025196
160,1.07779690174436,1.0378844162825,1.02609575456468
168,1.16277887312232,1.0414110408652,1.04058028484346
176,1.10405752737474,1.06177902151504,1.02216493493132
184,1.14710560328405,1.06870713872657,1.02280912746601
192,1.08142404105516,0.994408347860293,1.03718509614931
200,1.11433483194229,1.07616651462688,1.04634004041068
