gamma,0,1,2,k_n
1.24948238075148,1.0486500561388983,1.0877207413227885,1.1120652815414562,5
1.1678117333542994,0.987410071379525,1.0225540594648375,1.044408285802955,5
1.1905534368639465,0.8993548569606105,0.9570403365153816,0.992706502429342,5
1.21603963836105,0.9035999341150136,0.9644509457405102,1.0023570866995428,5
1.1315142055784302,0.8979515859596848,0.9442552201175496,0.9728466193599168,5
1.2103547898266245,1.124915619002861,1.1415432939553931,1.1519008676993128,5
1.1837150497272584,1.0831588901974092,1.102545216762041,1.1146725279292582,5
1.238369256614832,0.9734655458365724,1.0256252870863705,1.0579283213163462,5
1.16392196050691,1.2046932336749379,1.19682006339898,1.1919007865555955,5
1.204522513920065,1.0357368539634235,1.0685765419247037,1.0890587100641063,5
1.2052620821106184,1.02866362218016,1.0635848225114117,1.085181208657698,5
1.1995333209699148,0.9753498908452862,1.019010656905412,1.046175506695556,5
1.1342931789809578,1.1293029994352897,1.13028022836344,1.130886499195017,5
1.2429531355772203,1.1479830202005892,1.1663692527943117,1.1778406461851032,5
1.1781397061538532,1.0329418635407714,1.0614999141659602,1.0792097555012148,5
1.252906746664856,1.0644984402507576,1.1009696491152559,1.1237447335088202,5
1.198161381601243,1.1300660220470866,1.1434434909561815,1.1517411326030176,5
1.1221941182351423,0.9071587626267196,0.9493411926137545,0.9755137549759064,5
1.1705796632748475,1.046519543178278,1.0708154488437112,1.085903882336705,5
1.1957569461694373,1.0475575744363699,1.0769034801516475,1.0950364944037327,5
1.1478777466631485,1.0219649812979672,1.0467618856567242,1.062124850711005,5
1.2078757211757118,1.1105761763667261,1.1294741886002098,1.1412447834435322,5
1.1841218637195012,1.2780653308637717,1.2599359466984998,1.2485953964447944,5
1.1457116197553392,1.1991560452963517,1.1887414375664356,1.182253026099597,5
1.196532742069415,1.0303833480474538,1.0630459908639105,1.083299301047061,5
1.2416674698055836,1.1137903331164618,1.1388970427643934,1.1544495065128564,5
1.193849537565052,1.1180174038117658,1.1330594935739293,1.1423424970932083,5
1.2380206359745167,0.9681182563414904,1.020972674957575,1.053828476662733,5
1.176137410915387,0.9569728598985879,1.0001164304990566,1.0268632154296315,5
1.249759856544039,1.1350664417103447,1.1574098483243236,1.1713156597912078,5
1.1326904156851234,1.0829819566045988,1.0927975894002104,1.0988742145957309,5
1.1509647113264947,0.9602956317776502,0.9976335285781686,1.0208011714052945,5
1.1670865250121458,0.8718404697051797,0.9300143448014964,0.9660591078933084,5
1.1863891331654255,0.9081182901214574,0.9628716396498396,0.9968409211994236,5
1.1876001825896514,1.1313456173436904,1.1422565771476791,1.1490569838785079,5
1.1701289133910515,1.0049647810340803,1.0369869952284794,1.0569571034853626,5
1.1572480998574246,1.1307141612039653,1.1359309183697663,1.1391691485620095,5
1.1956376197880518,1.1903073468163952,1.1913506104876297,1.1919983601605797,5
1.2088818262269798,1.0918130549293985,1.1144800497327205,1.1286155861674545,5
1.1243432187071933,0.9790918004187883,1.0077649941203544,1.025508274912387,5
1.1249795913794147,0.7651935452217917,0.8364170354706277,0.8804526506334889,5
1.2529887678977543,1.2262103282523733,1.2314079932393593,1.2346470924827722,5
1.1965013903960169,1.0901714743655915,1.1108011983774508,1.1236675242578404,5
1.2188212389989908,1.0363920503548318,1.071956363606144,1.094072160887224,5
1.1285048066444923,0.9834707236391718,1.012005584804202,1.029697072606632,5
1.174255839036683,1.075509372643184,1.0942600312116437,1.1060572832579356,5
1.1459970076529626,0.8972179935511302,0.9465765012589429,0.9770587365596844,5
1.1714852752411857,1.0947615384387195,1.1097760527983624,1.1190994703922639,5
1.1976206939201288,1.0584740364739103,1.085617331040084,1.1025063800230477,5
1.2484676418465361,0.9932557970924778,1.0434071196756196,1.0744842774069487,5
1.1795467483122666,1.1174856981586538,1.1296324559127546,1.137176219304486,5
1.1915026615128697,0.972518045099157,1.0154754054153647,1.0421215628128784,5
1.2297146596954465,1.0944781274352362,1.1207559859515839,1.1371332458923848,5
1.222732842864225,1.2992782136680372,1.2845324513180092,1.2753164853017427,5
1.191133799016313,1.0808260126622988,1.1025985717426288,1.1160583766701726,5
1.1506738690486196,1.1681663203551724,1.1647272303720284,1.1625937825650916,5
1.2346741795554674,0.9924767631427289,1.0403916658745644,1.0699920768648965,5
1.1640261024583574,0.8108701211019365,0.8802790806076768,0.9233114283598216,5
1.1557417110330874,1.1184380083040861,1.12570159793811,1.1302219134141973,5
1.090564283305561,0.98840940845287,1.0087192988364322,1.0212462677189262,5
1.1211562794765917,0.9719207042055827,1.0012654438938966,1.0194612824994262,5
1.2201033409080724,0.9897098345805835,1.0343926410801914,1.062273797025949,5
1.134493416070344,1.0128400771784283,1.0365871404550115,1.0513437051433314,5
1.1660409298013186,0.9382151966897093,0.983353812551836,1.0112459134470217,5
1.1933981434329965,1.0496375259024413,1.0775799852488832,1.094982599924326,5
1.122924846218373,1.1494846497713516,1.1442974609379897,1.1410699043264805,5
1.0767411002920735,0.9128044510399709,0.9443174053039705,0.9640454368233239,5
1.1315582060632094,0.9643887222849176,0.9971327954765745,1.0174641638681634,5
1.3016913476199086,1.0222431213534273,1.0764266453599383,1.1102224578642845,5
1.2212689705228377,0.9606654817578161,1.0116244761985018,1.0432873715729216,5
1.1508938954824321,1.1769280594153293,1.1717670365582546,1.1685759714557578,5
1.2663371537282526,0.97821297740996,1.0336715463382307,1.0683826064312614,5
1.2138507027272412,1.0090334968483639,1.0492275286302657,1.0741605315511553,5
1.1169625092360769,0.9474782511260973,0.9809059038870972,1.0016053770971225,5
1.2307645557892297,0.9616898325010552,1.0143488834155832,1.047054432131151,5
1.1886622998223577,1.025357870214903,1.0575073042670458,1.0774284349589822,5
1.231890613707674,1.0522500211008947,1.0876167026345653,1.109518496718269,5
1.3023155130572193,1.2432936448751297,1.254494281174866,1.2615472736752804,5
1.2360323598057636,0.869402288279926,0.9410305516327266,0.9855224823750862,5
1.1807611248469747,0.9371387090354847,0.9853656839925848,1.0151512265800144,5
1.2358858684191238,1.158013097217782,1.1729998168108837,1.182378609324438,5
1.2465135136497,1.1773240752861545,1.190695966786817,1.1990390437409046,5
